Freq.	V(p003)/I(V1)
1.00000000000000e+003	(9.39795942922603e+001dB,-1.79983335479306e+002°)
1.00023028502082e+003	(9.39795943637521e+001dB,-1.79983331670858e+002°)
1.00046062307284e+003	(9.39795944352766e+001dB,-1.79983327861553e+002°)
1.00069101416826e+003	(9.39795945068337e+001dB,-1.79983324051391e+002°)
1.00092145831930e+003	(9.39795945784236e+001dB,-1.79983320240371e+002°)
1.00115195553817e+003	(9.39795946500463e+001dB,-1.79983316428494e+002°)
1.00138250583710e+003	(9.39795947217016e+001dB,-1.79983312615759e+002°)
1.00161310922831e+003	(9.39795947933897e+001dB,-1.79983308802166e+002°)
1.00184376572403e+003	(9.39795948651106e+001dB,-1.79983304987715e+002°)
1.00207447533648e+003	(9.39795949368643e+001dB,-1.79983301172406e+002°)
1.00230523807790e+003	(9.39795950086507e+001dB,-1.79983297356238e+002°)
1.00253605396052e+003	(9.39795950804700e+001dB,-1.79983293539212e+002°)
1.00276692299659e+003	(9.39795951523221e+001dB,-1.79983289721327e+002°)
1.00299784519833e+003	(9.39795952242070e+001dB,-1.79983285902583e+002°)
1.00322882057800e+003	(9.39795952961249e+001dB,-1.79983282082980e+002°)
1.00345984914784e+003	(9.39795953680755e+001dB,-1.79983278262517e+002°)
1.00369093092010e+003	(9.39795954400591e+001dB,-1.79983274441195e+002°)
1.00392206590702e+003	(9.39795955120756e+001dB,-1.79983270619013e+002°)
1.00415325412088e+003	(9.39795955841250e+001dB,-1.79983266795971e+002°)
1.00438449557391e+003	(9.39795956562073e+001dB,-1.79983262972068e+002°)
1.00461579027839e+003	(9.39795957283226e+001dB,-1.79983259147306e+002°)
1.00484713824658e+003	(9.39795958004708e+001dB,-1.79983255321683e+002°)
1.00507853949074e+003	(9.39795958726520e+001dB,-1.79983251495200e+002°)
1.00530999402313e+003	(9.39795959448662e+001dB,-1.79983247667855e+002°)
1.00554150185604e+003	(9.39795960171134e+001dB,-1.79983243839650e+002°)
1.00577306300174e+003	(9.39795960893937e+001dB,-1.79983240010583e+002°)
1.00600467747249e+003	(9.39795961617069e+001dB,-1.79983236180655e+002°)
1.00623634528060e+003	(9.39795962340533e+001dB,-1.79983232349865e+002°)
1.00646806643832e+003	(9.39795963064327e+001dB,-1.79983228518214e+002°)
1.00669984095796e+003	(9.39795963788451e+001dB,-1.79983224685701e+002°)
1.00693166885180e+003	(9.39795964512907e+001dB,-1.79983220852325e+002°)
1.00716355013213e+003	(9.39795965237694e+001dB,-1.79983217018087e+002°)
1.00739548481125e+003	(9.39795965962812e+001dB,-1.79983213182987e+002°)
1.00762747290145e+003	(9.39795966688262e+001dB,-1.79983209347024e+002°)
1.00785951441503e+003	(9.39795967414043e+001dB,-1.79983205510198e+002°)
1.00809160936429e+003	(9.39795968140156e+001dB,-1.79983201672508e+002°)
1.00832375776155e+003	(9.39795968866601e+001dB,-1.79983197833956e+002°)
1.00855595961910e+003	(9.39795969593377e+001dB,-1.79983193994540e+002°)
1.00878821494927e+003	(9.39795970320486e+001dB,-1.79983190154261e+002°)
1.00902052376435e+003	(9.39795971047928e+001dB,-1.79983186313118e+002°)
1.00925288607668e+003	(9.39795971775702e+001dB,-1.79983182471111e+002°)
1.00948530189857e+003	(9.39795972503808e+001dB,-1.79983178628239e+002°)
1.00971777124234e+003	(9.39795973232247e+001dB,-1.79983174784504e+002°)
1.00995029412032e+003	(9.39795973961019e+001dB,-1.79983170939903e+002°)
1.01018287054483e+003	(9.39795974690125e+001dB,-1.79983167094438e+002°)
1.01041550052821e+003	(9.39795975419563e+001dB,-1.79983163248108e+002°)
1.01064818408279e+003	(9.39795976149335e+001dB,-1.79983159400913e+002°)
1.01088092122091e+003	(9.39795976879441e+001dB,-1.79983155552853e+002°)
1.01111371195490e+003	(9.39795977609879e+001dB,-1.79983151703927e+002°)
1.01134655629712e+003	(9.39795978340652e+001dB,-1.79983147854136e+002°)
1.01157945425989e+003	(9.39795979071759e+001dB,-1.79983144003478e+002°)
1.01181240585558e+003	(9.39795979803201e+001dB,-1.79983140151955e+002°)
1.01204541109654e+003	(9.39795980534976e+001dB,-1.79983136299565e+002°)
1.01227846999511e+003	(9.39795981267086e+001dB,-1.79983132446310e+002°)
1.01251158256365e+003	(9.39795981999530e+001dB,-1.79983128592187e+002°)
1.01274474881453e+003	(9.39795982732309e+001dB,-1.79983124737198e+002°)
1.01297796876010e+003	(9.39795983465423e+001dB,-1.79983120881341e+002°)
1.01321124241273e+003	(9.39795984198873e+001dB,-1.79983117024618e+002°)
1.01344456978479e+003	(9.39795984932657e+001dB,-1.79983113167027e+002°)
1.01367795088864e+003	(9.39795985666777e+001dB,-1.79983109308569e+002°)
1.01391138573667e+003	(9.39795986401232e+001dB,-1.79983105449243e+002°)
1.01414487434125e+003	(9.39795987136023e+001dB,-1.79983101589049e+002°)
1.01437841671476e+003	(9.39795987871150e+001dB,-1.79983097727987e+002°)
1.01461201286958e+003	(9.39795988606612e+001dB,-1.79983093866057e+002°)
1.01484566281809e+003	(9.39795989342411e+001dB,-1.79983090003259e+002°)
1.01507936657269e+003	(9.39795990078546e+001dB,-1.79983086139591e+002°)
1.01531312414576e+003	(9.39795990815017e+001dB,-1.79983082275055e+002°)
1.01554693554969e+003	(9.39795991551826e+001dB,-1.79983078409650e+002°)
1.01578080079689e+003	(9.39795992288970e+001dB,-1.79983074543376e+002°)
1.01601471989976e+003	(9.39795993026452e+001dB,-1.79983070676233e+002°)
1.01624869287069e+003	(9.39795993764271e+001dB,-1.79983066808219e+002°)
1.01648271972209e+003	(9.39795994502427e+001dB,-1.79983062939336e+002°)
1.01671680046637e+003	(9.39795995240920e+001dB,-1.79983059069584e+002°)
1.01695093511594e+003	(9.39795995979751e+001dB,-1.79983055198961e+002°)
1.01718512368321e+003	(9.39795996718919e+001dB,-1.79983051327468e+002°)
1.01741936618060e+003	(9.39795997458425e+001dB,-1.79983047455104e+002°)
1.01765366262053e+003	(9.39795998198269e+001dB,-1.79983043581869e+002°)
1.01788801301542e+003	(9.39795998938452e+001dB,-1.79983039707764e+002°)
1.01812241737769e+003	(9.39795999678972e+001dB,-1.79983035832788e+002°)
1.01835687571978e+003	(9.39796000419831e+001dB,-1.79983031956940e+002°)
1.01859138805411e+003	(9.39796001161028e+001dB,-1.79983028080222e+002°)
1.01882595439312e+003	(9.39796001902565e+001dB,-1.79983024202631e+002°)
1.01906057474924e+003	(9.39796002644440e+001dB,-1.79983020324169e+002°)
1.01929524913492e+003	(9.39796003386654e+001dB,-1.79983016444834e+002°)
1.01952997756260e+003	(9.39796004129207e+001dB,-1.79983012564628e+002°)
1.01976476004471e+003	(9.39796004872100e+001dB,-1.79983008683549e+002°)
1.01999959659371e+003	(9.39796005615332e+001dB,-1.79983004801598e+002°)
1.02023448722206e+003	(9.39796006358904e+001dB,-1.79983000918774e+002°)
1.02046943194219e+003	(9.39796007102815e+001dB,-1.79982997035077e+002°)
1.02070443076658e+003	(9.39796007847067e+001dB,-1.79982993150507e+002°)
1.02093948370767e+003	(9.39796008591658e+001dB,-1.79982989265064e+002°)
1.02117459077794e+003	(9.39796009336590e+001dB,-1.79982985378747e+002°)
1.02140975198984e+003	(9.39796010081862e+001dB,-1.79982981491556e+002°)
1.02164496735585e+003	(9.39796010827475e+001dB,-1.79982977603492e+002°)
1.02188023688843e+003	(9.39796011573429e+001dB,-1.79982973714554e+002°)
1.02211556060006e+003	(9.39796012319723e+001dB,-1.79982969824741e+002°)
1.02235093850322e+003	(9.39796013066359e+001dB,-1.79982965934054e+002°)
1.02258637061039e+003	(9.39796013813335e+001dB,-1.79982962042493e+002°)
1.02282185693404e+003	(9.39796014560653e+001dB,-1.79982958150057e+002°)
1.02305739748666e+003	(9.39796015308313e+001dB,-1.79982954256745e+002°)
1.02329299228075e+003	(9.39796016056314e+001dB,-1.79982950362559e+002°)
1.02352864132878e+003	(9.39796016804657e+001dB,-1.79982946467497e+002°)
1.02376434464327e+003	(9.39796017553342e+001dB,-1.79982942571560e+002°)
1.02400010223669e+003	(9.39796018302369e+001dB,-1.79982938674747e+002°)
1.02423591412156e+003	(9.39796019051738e+001dB,-1.79982934777058e+002°)
1.02447178031037e+003	(9.39796019801450e+001dB,-1.79982930878493e+002°)
1.02470770081564e+003	(9.39796020551504e+001dB,-1.79982926979052e+002°)
1.02494367564986e+003	(9.39796021301901e+001dB,-1.79982923078735e+002°)
1.02517970482555e+003	(9.39796022052641e+001dB,-1.79982919177540e+002°)
1.02541578835522e+003	(9.39796022803724e+001dB,-1.79982915275469e+002°)
1.02565192625140e+003	(9.39796023555150e+001dB,-1.79982911372521e+002°)
1.02588811852659e+003	(9.39796024306920e+001dB,-1.79982907468696e+002°)
1.02612436519333e+003	(9.39796025059033e+001dB,-1.79982903563993e+002°)
1.02636066626414e+003	(9.39796025811489e+001dB,-1.79982899658413e+002°)
1.02659702175154e+003	(9.39796026564290e+001dB,-1.79982895751955e+002°)
1.02683343166808e+003	(9.39796027317435e+001dB,-1.79982891844619e+002°)
1.02706989602627e+003	(9.39796028070923e+001dB,-1.79982887936405e+002°)
1.02730641483867e+003	(9.39796028824756e+001dB,-1.79982884027312e+002°)
1.02754298811780e+003	(9.39796029578933e+001dB,-1.79982880117341e+002°)
1.02777961587622e+003	(9.39796030333456e+001dB,-1.79982876206492e+002°)
1.02801629812646e+003	(9.39796031088322e+001dB,-1.79982872294763e+002°)
1.02825303488109e+003	(9.39796031843534e+001dB,-1.79982868382156e+002°)
1.02848982615264e+003	(9.39796032599091e+001dB,-1.79982864468669e+002°)
1.02872667195367e+003	(9.39796033354992e+001dB,-1.79982860554302e+002°)
1.02896357229674e+003	(9.39796034111240e+001dB,-1.79982856639056e+002°)
1.02920052719442e+003	(9.39796034867833e+001dB,-1.79982852722930e+002°)
1.02943753665926e+003	(9.39796035624771e+001dB,-1.79982848805925e+002°)
1.02967460070382e+003	(9.39796036382056e+001dB,-1.79982844888039e+002°)
1.02991171934069e+003	(9.39796037139686e+001dB,-1.79982840969272e+002°)
1.03014889258242e+003	(9.39796037897663e+001dB,-1.79982837049625e+002°)
1.03038612044161e+003	(9.39796038655986e+001dB,-1.79982833129097e+002°)
1.03062340293081e+003	(9.39796039414655e+001dB,-1.79982829207689e+002°)
1.03086074006262e+003	(9.39796040173671e+001dB,-1.79982825285399e+002°)
1.03109813184961e+003	(9.39796040933034e+001dB,-1.79982821362228e+002°)
1.03133557830437e+003	(9.39796041692744e+001dB,-1.79982817438175e+002°)
1.03157307943950e+003	(9.39796042452801e+001dB,-1.79982813513241e+002°)
1.03181063526758e+003	(9.39796043213205e+001dB,-1.79982809587424e+002°)
1.03204824580121e+003	(9.39796043973957e+001dB,-1.79982805660726e+002°)
1.03228591105299e+003	(9.39796044735056e+001dB,-1.79982801733145e+002°)
1.03252363103551e+003	(9.39796045496503e+001dB,-1.79982797804682e+002°)
1.03276140576139e+003	(9.39796046258298e+001dB,-1.79982793875336e+002°)
1.03299923524322e+003	(9.39796047020441e+001dB,-1.79982789945108e+002°)
1.03323711949362e+003	(9.39796047782932e+001dB,-1.79982786013996e+002°)
1.03347505852520e+003	(9.39796048545771e+001dB,-1.79982782082001e+002°)
1.03371305235057e+003	(9.39796049308959e+001dB,-1.79982778149123e+002°)
1.03395110098236e+003	(9.39796050072496e+001dB,-1.79982774215361e+002°)
1.03418920443318e+003	(9.39796050836382e+001dB,-1.79982770280716e+002°)
1.03442736271566e+003	(9.39796051600616e+001dB,-1.79982766345186e+002°)
1.03466557584243e+003	(9.39796052365200e+001dB,-1.79982762408772e+002°)
