Freq.	V(n003)/I(I1)
1.00000000000000e+003	(-1.91527124184780e+001dB,9.33657485144546e+001°)
1.00023028502082e+003	(-1.91506800537598e+001dB,9.33672999845958e+001°)
1.00046062307284e+003	(-1.91486476726881e+001dB,9.33688516159607e+001°)
1.00069101416826e+003	(-1.91466152752676e+001dB,9.33704034088403e+001°)
1.00092145831930e+003	(-1.91445828614667e+001dB,9.33719553646936e+001°)
1.00115195553817e+003	(-1.91425504312997e+001dB,9.33735074819217e+001°)
1.00138250583710e+003	(-1.91405179847570e+001dB,9.33750597608093e+001°)
1.00161310922831e+003	(-1.91384855218281e+001dB,9.33766122028220e+001°)
1.00184376572403e+003	(-1.91364530425057e+001dB,9.33781648063531e+001°)
1.00207447533648e+003	(-1.91344205467826e+001dB,9.33797175728686e+001°)
1.00230523807790e+003	(-1.91323880346656e+001dB,9.33812705005317e+001°)
1.00253605396052e+003	(-1.91303555061175e+001dB,9.33828235922127e+001°)
1.00276692299659e+003	(-1.91283229611644e+001dB,9.33843768456102e+001°)
1.00299784519833e+003	(-1.91262903997861e+001dB,9.33859302612386e+001°)
1.00322882057800e+003	(-1.91242578219706e+001dB,9.33874838400871e+001°)
1.00345984914784e+003	(-1.91222252277201e+001dB,9.33890375817339e+001°)
1.00369093092010e+003	(-1.91201926170219e+001dB,9.33905914862232e+001°)
1.00392206590702e+003	(-1.91181599898812e+001dB,9.33921455526628e+001°)
1.00415325412088e+003	(-1.91161273462724e+001dB,9.33936997827424e+001°)
1.00438449557391e+003	(-1.91140946862044e+001dB,9.33952541760424e+001°)
1.00461579027839e+003	(-1.91120620096718e+001dB,9.33968087316661e+001°)
1.00484713824658e+003	(-1.91100293166497e+001dB,9.33983634513017e+001°)
1.00507853949074e+003	(-1.91079966071489e+001dB,9.33999183333520e+001°)
1.00530999402313e+003	(-1.91059638811508e+001dB,9.34014733797419e+001°)
1.00554150185604e+003	(-1.91039311386689e+001dB,9.34030285884046e+001°)
1.00577306300174e+003	(-1.91018983796718e+001dB,9.34045839610234e+001°)
1.00600467747249e+003	(-1.90998656041652e+001dB,9.34061394976474e+001°)
1.00623634528060e+003	(-1.90978328121354e+001dB,9.34076951973765e+001°)
1.00646806643832e+003	(-1.90958000035985e+001dB,9.34092510600290e+001°)
1.00669984095796e+003	(-1.90937671785203e+001dB,9.34108070872842e+001°)
1.00693166885180e+003	(-1.90917343369079e+001dB,9.34123632775450e+001°)
1.00716355013213e+003	(-1.90897014787441e+001dB,9.34139196327315e+001°)
1.00739548481125e+003	(-1.90876686040378e+001dB,9.34154761507773e+001°)
1.00762747290145e+003	(-1.90856357127668e+001dB,9.34170328338343e+001°)
1.00785951441503e+003	(-1.90836028049335e+001dB,9.34185896803040e+001°)
1.00809160936429e+003	(-1.90815698805346e+001dB,9.34201466909350e+001°)
1.00832375776155e+003	(-1.90795369395562e+001dB,9.34217038660017e+001°)
1.00855595961910e+003	(-1.90775039819936e+001dB,9.34232612050773e+001°)
1.00878821494927e+003	(-1.90754710078412e+001dB,9.34248187089080e+001°)
1.00902052376435e+003	(-1.90734380170831e+001dB,9.34263763770625e+001°)
1.00925288607668e+003	(-1.90714050097305e+001dB,9.34279342098239e+001°)
1.00948530189857e+003	(-1.90693719857605e+001dB,9.34294922069922e+001°)
1.00971777124234e+003	(-1.90673389451874e+001dB,9.34310503681480e+001°)
