Freq.	V(n002)
1.00000000000000e+002	(-1.17839230486781e+002dB,1.79596298872272e+002°)
1.00023028502082e+002	(-1.17835230487102e+002dB,1.79596205906644e+002°)
1.00046062307284e+002	(-1.17831230487423e+002dB,1.79596112919609e+002°)
1.00069101416826e+002	(-1.17827230487744e+002dB,1.79596019911160e+002°)
1.00092145831930e+002	(-1.17823230488065e+002dB,1.79595926881294e+002°)
1.00115195553817e+002	(-1.17819230488387e+002dB,1.79595833830004e+002°)
1.00138250583710e+002	(-1.17815230488709e+002dB,1.79595740757287e+002°)
1.00161310922831e+002	(-1.17811230489030e+002dB,1.79595647663137e+002°)
1.00184376572403e+002	(-1.17807230489352e+002dB,1.79595554547549e+002°)
1.00207447533648e+002	(-1.17803230489674e+002dB,1.79595461410518e+002°)
1.00230523807790e+002	(-1.17799230489997e+002dB,1.79595368252040e+002°)
1.00253605396052e+002	(-1.17795230490319e+002dB,1.79595275072110e+002°)
1.00276692299659e+002	(-1.17791230490642e+002dB,1.79595181870722e+002°)
1.00299784519833e+002	(-1.17787230490964e+002dB,1.79595088647872e+002°)
1.00322882057800e+002	(-1.17783230491287e+002dB,1.79594995403554e+002°)
1.00345984914784e+002	(-1.17779230491610e+002dB,1.79594902137764e+002°)
1.00369093092010e+002	(-1.17775230491933e+002dB,1.79594808850497e+002°)
1.00392206590702e+002	(-1.17771230492256e+002dB,1.79594715541747e+002°)
1.00415325412088e+002	(-1.17767230492580e+002dB,1.79594622211511e+002°)
1.00438449557391e+002	(-1.17763230492903e+002dB,1.79594528859782e+002°)
1.00461579027839e+002	(-1.17759230493227e+002dB,1.79594435486556e+002°)
1.00484713824658e+002	(-1.17755230493551e+002dB,1.79594342091829e+002°)
1.00507853949074e+002	(-1.17751230493875e+002dB,1.79594248675594e+002°)
1.00530999402313e+002	(-1.17747230494199e+002dB,1.79594155237848e+002°)
1.00554150185604e+002	(-1.17743230494523e+002dB,1.79594061778585e+002°)
1.00577306300174e+002	(-1.17739230494848e+002dB,1.79593968297800e+002°)
1.00600467747249e+002	(-1.17735230495172e+002dB,1.79593874795488e+002°)
1.00623634528060e+002	(-1.17731230495497e+002dB,1.79593781271644e+002°)
1.00646806643832e+002	(-1.17727230495822e+002dB,1.79593687726264e+002°)
1.00669984095796e+002	(-1.17723230496147e+002dB,1.79593594159343e+002°)
1.00693166885180e+002	(-1.17719230496472e+002dB,1.79593500570874e+002°)
1.00716355013213e+002	(-1.17715230496798e+002dB,1.79593406960855e+002°)
1.00739548481125e+002	(-1.17711230497123e+002dB,1.79593313329278e+002°)
1.00762747290145e+002	(-1.17707230497449e+002dB,1.79593219676141e+002°)
1.00785951441503e+002	(-1.17703230497775e+002dB,1.79593126001436e+002°)
1.00809160936429e+002	(-1.17699230498101e+002dB,1.79593032305161e+002°)
1.00832375776155e+002	(-1.17695230498427e+002dB,1.79592938587309e+002°)
1.00855595961910e+002	(-1.17691230498753e+002dB,1.79592844847876e+002°)
1.00878821494927e+002	(-1.17687230499079e+002dB,1.79592751086856e+002°)
1.00902052376435e+002	(-1.17683230499406e+002dB,1.79592657304245e+002°)
1.00925288607668e+002	(-1.17679230499732e+002dB,1.79592563500038e+002°)
1.00948530189857e+002	(-1.17675230500059e+002dB,1.79592469674230e+002°)
1.00971777124234e+002	(-1.17671230500386e+002dB,1.79592375826816e+002°)
1.00995029412032e+002	(-1.17667230500713e+002dB,1.79592281957790e+002°)
1.01018287054483e+002	(-1.17663230501041e+002dB,1.79592188067148e+002°)
1.01041550052821e+002	(-1.17659230501368e+002dB,1.79592094154886e+002°)
1.01064818408279e+002	(-1.17655230501696e+002dB,1.79592000220997e+002°)
1.01088092122091e+002	(-1.17651230502024e+002dB,1.79591906265477e+002°)
1.01111371195490e+002	(-1.17647230502351e+002dB,1.79591812288321e+002°)
1.01134655629712e+002	(-1.17643230502680e+002dB,1.79591718289523e+002°)
1.01157945425989e+002	(-1.17639230503008e+002dB,1.79591624269080e+002°)
1.01181240585558e+002	(-1.17635230503336e+002dB,1.79591530226986e+002°)
1.01204541109654e+002	(-1.17631230503664e+002dB,1.79591436163236e+002°)
1.01227846999511e+002	(-1.17627230503993e+002dB,1.79591342077825e+002°)
1.01251158256365e+002	(-1.17623230504322e+002dB,1.79591247970748e+002°)
1.01274474881453e+002	(-1.17619230504651e+002dB,1.79591153842000e+002°)
1.01297796876010e+002	(-1.17615230504980e+002dB,1.79591059691576e+002°)
1.01321124241273e+002	(-1.17611230505309e+002dB,1.79590965519471e+002°)
1.01344456978479e+002	(-1.17607230505639e+002dB,1.79590871325680e+002°)
1.01367795088864e+002	(-1.17603230505968e+002dB,1.79590777110199e+002°)
1.01391138573667e+002	(-1.17599230506298e+002dB,1.79590682873021e+002°)
1.01414487434125e+002	(-1.17595230506628e+002dB,1.79590588614142e+002°)
1.01437841671476e+002	(-1.17591230506958e+002dB,1.79590494333558e+002°)
1.01461201286958e+002	(-1.17587230507288e+002dB,1.79590400031263e+002°)
1.01484566281809e+002	(-1.17583230507618e+002dB,1.79590305707251e+002°)
1.01507936657269e+002	(-1.17579230507949e+002dB,1.79590211361519e+002°)
