Freq.	V(n006)
1.00000000000000e+002	(-1.03860259312391e+002dB,1.79587962159560e+002°)
1.00023028502082e+002	(-1.03856259312746e+002dB,1.79587867274112e+002°)
1.00046062307284e+002	(-1.03852259313100e+002dB,1.79587772366815e+002°)
1.00069101416826e+002	(-1.03848259313454e+002dB,1.79587677437662e+002°)
1.00092145831930e+002	(-1.03844259313809e+002dB,1.79587582486649e+002°)
1.00115195553817e+002	(-1.03840259314164e+002dB,1.79587487513770e+002°)
1.00138250583710e+002	(-1.03836259314519e+002dB,1.79587392519021e+002°)
1.00161310922831e+002	(-1.03832259314874e+002dB,1.79587297502397e+002°)
1.00184376572403e+002	(-1.03828259315230e+002dB,1.79587202463892e+002°)
1.00207447533648e+002	(-1.03824259315585e+002dB,1.79587107403502e+002°)
1.00230523807790e+002	(-1.03820259315941e+002dB,1.79587012321221e+002°)
1.00253605396052e+002	(-1.03816259316297e+002dB,1.79586917217045e+002°)
1.00276692299659e+002	(-1.03812259316653e+002dB,1.79586822090968e+002°)
1.00299784519833e+002	(-1.03808259317009e+002dB,1.79586726942986e+002°)
1.00322882057800e+002	(-1.03804259317365e+002dB,1.79586631773093e+002°)
1.00345984914784e+002	(-1.03800259317722e+002dB,1.79586536581284e+002°)
1.00369093092010e+002	(-1.03796259318078e+002dB,1.79586441367554e+002°)
1.00392206590702e+002	(-1.03792259318435e+002dB,1.79586346131899e+002°)
1.00415325412088e+002	(-1.03788259318792e+002dB,1.79586250874313e+002°)
1.00438449557391e+002	(-1.03784259319149e+002dB,1.79586155594791e+002°)
1.00461579027839e+002	(-1.03780259319506e+002dB,1.79586060293327e+002°)
1.00484713824658e+002	(-1.03776259319864e+002dB,1.79585964969918e+002°)
1.00507853949074e+002	(-1.03772259320222e+002dB,1.79585869624558e+002°)
1.00530999402313e+002	(-1.03768259320579e+002dB,1.79585774257242e+002°)
1.00554150185604e+002	(-1.03764259320937e+002dB,1.79585678867964e+002°)
1.00577306300174e+002	(-1.03760259321295e+002dB,1.79585583456721e+002°)
1.00600467747249e+002	(-1.03756259321654e+002dB,1.79585488023506e+002°)
1.00623634528060e+002	(-1.03752259322012e+002dB,1.79585392568314e+002°)
1.00646806643832e+002	(-1.03748259322371e+002dB,1.79585297091141e+002°)
1.00669984095796e+002	(-1.03744259322730e+002dB,1.79585201591982e+002°)
1.00693166885180e+002	(-1.03740259323089e+002dB,1.79585106070831e+002°)
1.00716355013213e+002	(-1.03736259323448e+002dB,1.79585010527684e+002°)
1.00739548481125e+002	(-1.03732259323807e+002dB,1.79584914962535e+002°)
1.00762747290145e+002	(-1.03728259324166e+002dB,1.79584819375379e+002°)
1.00785951441503e+002	(-1.03724259324526e+002dB,1.79584723766212e+002°)
1.00809160936429e+002	(-1.03720259324886e+002dB,1.79584628135027e+002°)
1.00832375776155e+002	(-1.03716259325246e+002dB,1.79584532481821e+002°)
1.00855595961910e+002	(-1.03712259325606e+002dB,1.79584436806587e+002°)
1.00878821494927e+002	(-1.03708259325966e+002dB,1.79584341109322e+002°)
1.00902052376435e+002	(-1.03704259326326e+002dB,1.79584245390019e+002°)
1.00925288607668e+002	(-1.03700259326687e+002dB,1.79584149648674e+002°)
1.00948530189857e+002	(-1.03696259327048e+002dB,1.79584053885282e+002°)
1.00971777124234e+002	(-1.03692259327409e+002dB,1.79583958099838e+002°)
1.00995029412032e+002	(-1.03688259327770e+002dB,1.79583862292336e+002°)
1.01018287054483e+002	(-1.03684259328131e+002dB,1.79583766462771e+002°)
1.01041550052821e+002	(-1.03680259328493e+002dB,1.79583670611139e+002°)
1.01064818408279e+002	(-1.03676259328854e+002dB,1.79583574737434e+002°)
1.01088092122091e+002	(-1.03672259329216e+002dB,1.79583478841651e+002°)
1.01111371195490e+002	(-1.03668259329578e+002dB,1.79583382923786e+002°)
1.01134655629712e+002	(-1.03664259329940e+002dB,1.79583286983832e+002°)
