Freq.	V(n006)
1.00000000000000e+002	(-1.02714452471280e+002dB,1.79560780202595e+002°)
1.00023028502082e+002	(-1.02710452471825e+002dB,1.79560679057704e+002°)
1.00046062307284e+002	(-1.02706452472372e+002dB,1.79560577889521e+002°)
1.00069101416826e+002	(-1.02702452472918e+002dB,1.79560476698042e+002°)
1.00092145831930e+002	(-1.02698452473465e+002dB,1.79560375483260e+002°)
1.00115195553817e+002	(-1.02694452474012e+002dB,1.79560274245170e+002°)
1.00138250583710e+002	(-1.02690452474559e+002dB,1.79560172983768e+002°)
1.00161310922831e+002	(-1.02686452475107e+002dB,1.79560071699047e+002°)
1.00184376572403e+002	(-1.02682452475654e+002dB,1.79559970391002e+002°)
1.00207447533648e+002	(-1.02678452476202e+002dB,1.79559869059628e+002°)
1.00230523807790e+002	(-1.02674452476750e+002dB,1.79559767704920e+002°)
1.00253605396052e+002	(-1.02670452477299e+002dB,1.79559666326871e+002°)
1.00276692299659e+002	(-1.02666452477848e+002dB,1.79559564925478e+002°)
1.00299784519833e+002	(-1.02662452478397e+002dB,1.79559463500734e+002°)
1.00322882057800e+002	(-1.02658452478946e+002dB,1.79559362052634e+002°)
1.00345984914784e+002	(-1.02654452479495e+002dB,1.79559260581172e+002°)
1.00369093092010e+002	(-1.02650452480045e+002dB,1.79559159086344e+002°)
1.00392206590702e+002	(-1.02646452480595e+002dB,1.79559057568143e+002°)
1.00415325412088e+002	(-1.02642452481145e+002dB,1.79558956026565e+002°)
1.00438449557391e+002	(-1.02638452481696e+002dB,1.79558854461604e+002°)
1.00461579027839e+002	(-1.02634452482247e+002dB,1.79558752873255e+002°)
1.00484713824658e+002	(-1.02630452482797e+002dB,1.79558651261512e+002°)
1.00507853949074e+002	(-1.02626452483349e+002dB,1.79558549626370e+002°)
1.00530999402313e+002	(-1.02622452483900e+002dB,1.79558447967824e+002°)
1.00554150185604e+002	(-1.02618452484452e+002dB,1.79558346285868e+002°)
1.00577306300174e+002	(-1.02614452485004e+002dB,1.79558244580496e+002°)
1.00600467747249e+002	(-1.02610452485556e+002dB,1.79558142851704e+002°)
1.00623634528060e+002	(-1.02606452486109e+002dB,1.79558041099486e+002°)
1.00646806643832e+002	(-1.02602452486662e+002dB,1.79557939323837e+002°)
1.00669984095796e+002	(-1.02598452487215e+002dB,1.79557837524750e+002°)
1.00693166885180e+002	(-1.02594452487768e+002dB,1.79557735702222e+002°)
1.00716355013213e+002	(-1.02590452488321e+002dB,1.79557633856246e+002°)
1.00739548481125e+002	(-1.02586452488875e+002dB,1.79557531986816e+002°)
1.00762747290145e+002	(-1.02582452489429e+002dB,1.79557430093929e+002°)
1.00785951441503e+002	(-1.02578452489984e+002dB,1.79557328177578e+002°)
1.00809160936429e+002	(-1.02574452490538e+002dB,1.79557226237757e+002°)
1.00832375776155e+002	(-1.02570452491093e+002dB,1.79557124274462e+002°)
