Freq.	V(n002)
1.00000000000000e+002	(-1.09025631076025e+002dB,1.79846211969147e+002°)
1.00023028502082e+002	(-1.09021630936201e+002dB,1.79846176552785e+002°)
1.00046062307284e+002	(-1.09017630796314e+002dB,1.79846141128266e+002°)
1.00069101416826e+002	(-1.09013630656362e+002dB,1.79846105695588e+002°)
1.00092145831930e+002	(-1.09009630516345e+002dB,1.79846070254750e+002°)
1.00115195553817e+002	(-1.09005630376264e+002dB,1.79846034805749e+002°)
1.00138250583710e+002	(-1.09001630236119e+002dB,1.79845999348584e+002°)
1.00161310922831e+002	(-1.08997630095909e+002dB,1.79845963883253e+002°)
1.00184376572403e+002	(-1.08993629955634e+002dB,1.79845928409754e+002°)
1.00207447533648e+002	(-1.08989629815295e+002dB,1.79845892928085e+002°)
1.00230523807790e+002	(-1.08985629674891e+002dB,1.79845857438244e+002°)
1.00253605396052e+002	(-1.08981629534422e+002dB,1.79845821940230e+002°)
1.00276692299659e+002	(-1.08977629393889e+002dB,1.79845786434040e+002°)
1.00299784519833e+002	(-1.08973629253291e+002dB,1.79845750919673e+002°)
1.00322882057800e+002	(-1.08969629112628e+002dB,1.79845715397126e+002°)
1.00345984914784e+002	(-1.08965628971901e+002dB,1.79845679866398e+002°)
1.00369093092010e+002	(-1.08961628831108e+002dB,1.79845644327487e+002°)
1.00392206590702e+002	(-1.08957628690251e+002dB,1.79845608780391e+002°)
1.00415325412088e+002	(-1.08953628549329e+002dB,1.79845573225108e+002°)
1.00438449557391e+002	(-1.08949628408342e+002dB,1.79845537661637e+002°)
1.00461579027839e+002	(-1.08945628267290e+002dB,1.79845502089974e+002°)
1.00484713824658e+002	(-1.08941628126173e+002dB,1.79845466510120e+002°)
1.00507853949074e+002	(-1.08937627984991e+002dB,1.79845430922070e+002°)
1.00530999402313e+002	(-1.08933627843744e+002dB,1.79845395325825e+002°)
1.00554150185604e+002	(-1.08929627702432e+002dB,1.79845359721381e+002°)
1.00577306300174e+002	(-1.08925627561055e+002dB,1.79845324108738e+002°)
1.00600467747249e+002	(-1.08921627419612e+002dB,1.79845288487892e+002°)
1.00623634528060e+002	(-1.08917627278105e+002dB,1.79845252858842e+002°)
1.00646806643832e+002	(-1.08913627136532e+002dB,1.79845217221587e+002°)
1.00669984095796e+002	(-1.08909626994894e+002dB,1.79845181576124e+002°)
1.00693166885180e+002	(-1.08905626853191e+002dB,1.79845145922452e+002°)
1.00716355013213e+002	(-1.08901626711423e+002dB,1.79845110260568e+002°)
1.00739548481125e+002	(-1.08897626569589e+002dB,1.79845074590471e+002°)
1.00762747290145e+002	(-1.08893626427690e+002dB,1.79845038912159e+002°)
1.00785951441503e+002	(-1.08889626285726e+002dB,1.79845003225629e+002°)
1.00809160936429e+002	(-1.08885626143696e+002dB,1.79844967530881e+002°)
1.00832375776155e+002	(-1.08881626001601e+002dB,1.79844931827912e+002°)
1.00855595961910e+002	(-1.08877625859440e+002dB,1.79844896116720e+002°)
1.00878821494927e+002	(-1.08873625717214e+002dB,1.79844860397303e+002°)
1.00902052376435e+002	(-1.08869625574923e+002dB,1.79844824669660e+002°)
1.00925288607668e+002	(-1.08865625432565e+002dB,1.79844788933788e+002°)
1.00948530189857e+002	(-1.08861625290143e+002dB,1.79844753189686e+002°)
1.00971777124234e+002	(-1.08857625147654e+002dB,1.79844717437352e+002°)
1.00995029412032e+002	(-1.08853625005100e+002dB,1.79844681676783e+002°)
1.01018287054483e+002	(-1.08849624862481e+002dB,1.79844645907979e+002°)
1.01041550052821e+002	(-1.08845624719795e+002dB,1.79844610130936e+002°)
