Freq.	V(n009)
1.00000000000000e+002	(-4.40116167090197e+001dB,-5.02502918410998e-001°)
1.00023028502082e+002	(-4.40116186656540e+001dB,-5.02618637488996e-001°)
1.00046062307284e+002	(-4.40116206231900e+001dB,-5.02734383215491e-001°)
1.00069101416826e+002	(-4.40116225816280e+001dB,-5.02850155596622e-001°)
1.00092145831930e+002	(-4.40116245409685e+001dB,-5.02965954638525e-001°)
1.00115195553817e+002	(-4.40116265012118e+001dB,-5.03081780347336e-001°)
1.00138250583710e+002	(-4.40116284623583e+001dB,-5.03197632729198e-001°)
1.00161310922831e+002	(-4.40116304244086e+001dB,-5.03313511790261e-001°)
1.00184376572403e+002	(-4.40116323873629e+001dB,-5.03429417536658e-001°)
1.00207447533648e+002	(-4.40116343512218e+001dB,-5.03545349974543e-001°)
1.00230523807790e+002	(-4.40116363159856e+001dB,-5.03661309110058e-001°)
1.00253605396052e+002	(-4.40116382816547e+001dB,-5.03777294949349e-001°)
1.00276692299659e+002	(-4.40116402482297e+001dB,-5.03893307498573e-001°)
1.00299784519833e+002	(-4.40116422157108e+001dB,-5.04009346763873e-001°)
1.00322882057800e+002	(-4.40116441840985e+001dB,-5.04125412751410e-001°)
1.00345984914784e+002	(-4.40116461533933e+001dB,-5.04241505467332e-001°)
1.00369093092010e+002	(-4.40116481235955e+001dB,-5.04357624917792e-001°)
1.00392206590702e+002	(-4.40116500947056e+001dB,-5.04473771108951e-001°)
1.00415325412088e+002	(-4.40116520667239e+001dB,-5.04589944046963e-001°)
1.00438449557391e+002	(-4.40116540396510e+001dB,-5.04706143737997e-001°)
1.00461579027839e+002	(-4.40116560134872e+001dB,-5.04822370188203e-001°)
1.00484713824658e+002	(-4.40116579882328e+001dB,-5.04938623403747e-001°)
1.00507853949074e+002	(-4.40116599638885e+001dB,-5.05054903390797e-001°)
1.00530999402313e+002	(-4.40116619404545e+001dB,-5.05171210155508e-001°)
1.00554150185604e+002	(-4.40116639179314e+001dB,-5.05287543704062e-001°)
1.00577306300174e+002	(-4.40116658963194e+001dB,-5.05403904042612e-001°)
1.00600467747249e+002	(-4.40116678756191e+001dB,-5.05520291177334e-001°)
1.00623634528060e+002	(-4.40116698558309e+001dB,-5.05636705114399e-001°)
1.00646806643832e+002	(-4.40116718369551e+001dB,-5.05753145859980e-001°)
1.00669984095796e+002	(-4.40116738189922e+001dB,-5.05869613420249e-001°)
1.00693166885180e+002	(-4.40116758019427e+001dB,-5.05986107801381e-001°)
1.00716355013213e+002	(-4.40116777858069e+001dB,-5.06102629009555e-001°)
1.00739548481125e+002	(-4.40116797705852e+001dB,-5.06219177050947e-001°)
1.00762747290145e+002	(-4.40116817562781e+001dB,-5.06335751931731e-001°)
1.00785951441503e+002	(-4.40116837428860e+001dB,-5.06452353658095e-001°)
1.00809160936429e+002	(-4.40116857304094e+001dB,-5.06568982236222e-001°)
1.00832375776155e+002	(-4.40116877188485e+001dB,-5.06685637672290e-001°)
1.00855595961910e+002	(-4.40116897082040e+001dB,-5.06802319972492e-001°)
1.00878821494927e+002	(-4.40116916984762e+001dB,-5.06919029143006e-001°)
1.00902052376435e+002	(-4.40116936896654e+001dB,-5.07035765190023e-001°)
1.00925288607668e+002	(-4.40116956817722e+001dB,-5.07152528119735e-001°)
1.00948530189857e+002	(-4.40116976747970e+001dB,-5.07269317938328e-001°)
1.00971777124234e+002	(-4.40116996687402e+001dB,-5.07386134652000e-001°)
1.00995029412032e+002	(-4.40117016636021e+001dB,-5.07502978266940e-001°)
1.01018287054483e+002	(-4.40117036593833e+001dB,-5.07619848789343e-001°)
1.01041550052821e+002	(-4.40117056560841e+001dB,-5.07736746225408e-001°)
1.01064818408279e+002	(-4.40117076537051e+001dB,-5.07853670581333e-001°)
1.01088092122091e+002	(-4.40117096522465e+001dB,-5.07970621863314e-001°)
1.01111371195490e+002	(-4.40117116517088e+001dB,-5.08087600077556e-001°)
1.01134655629712e+002	(-4.40117136520925e+001dB,-5.08204605230259e-001°)
1.01157945425989e+002	(-4.40117156533980e+001dB,-5.08321637327622e-001°)
1.01181240585558e+002	(-4.40117176556257e+001dB,-5.08438696375862e-001°)
1.01204541109654e+002	(-4.40117196587759e+001dB,-5.08555782381173e-001°)
1.01227846999511e+002	(-4.40117216628493e+001dB,-5.08672895349770e-001°)
1.01251158256365e+002	(-4.40117236678461e+001dB,-5.08790035287863e-001°)
1.01274474881453e+002	(-4.40117256737668e+001dB,-5.08907202201659e-001°)
1.01297796876010e+002	(-4.40117276806119e+001dB,-5.09024396097369e-001°)
1.01321124241273e+002	(-4.40117296883817e+001dB,-5.09141616981209e-001°)
1.01344456978479e+002	(-4.40117316970767e+001dB,-5.09258864859397e-001°)
1.01367795088864e+002	(-4.40117337066973e+001dB,-5.09376139738144e-001°)
1.01391138573667e+002	(-4.40117357172439e+001dB,-5.09493441623671e-001°)
1.01414487434125e+002	(-4.40117377287170e+001dB,-5.09610770522199e-001°)
1.01437841671476e+002	(-4.40117397411170e+001dB,-5.09728126439946e-001°)
1.01461201286958e+002	(-4.40117417544442e+001dB,-5.09845509383132e-001°)
1.01484566281809e+002	(-4.40117437686993e+001dB,-5.09962919357988e-001°)
1.01507936657269e+002	(-4.40117457838825e+001dB,-5.10080356370730e-001°)
1.01531312414576e+002	(-4.40117477999943e+001dB,-5.10197820427590e-001°)
1.01554693554969e+002	(-4.40117498170351e+001dB,-5.10315311534797e-001°)
1.01578080079690e+002	(-4.40117518350053e+001dB,-5.10432829698576e-001°)
1.01601471989976e+002	(-4.40117538539056e+001dB,-5.10550374925167e-001°)
1.01624869287069e+002	(-4.40117558737360e+001dB,-5.10667947220786e-001°)
1.01648271972209e+002	(-4.40117578944972e+001dB,-5.10785546591684e-001°)
1.01671680046637e+002	(-4.40117599161896e+001dB,-5.10903173044086e-001°)
1.01695093511594e+002	(-4.40117619388136e+001dB,-5.11020826584226e-001°)
1.01718512368321e+002	(-4.40117639623696e+001dB,-5.11138507218352e-001°)
1.01741936618060e+002	(-4.40117659868580e+001dB,-5.11256214952695e-001°)
1.01765366262053e+002	(-4.40117680122794e+001dB,-5.11373949793501e-001°)
1.01788801301542e+002	(-4.40117700386341e+001dB,-5.11491711747014e-001°)
1.01812241737769e+002	(-4.40117720659225e+001dB,-5.11609500819470e-001°)
1.01835687571978e+002	(-4.40117740941451e+001dB,-5.11727317017117e-001°)
1.01859138805411e+002	(-4.40117761233023e+001dB,-5.11845160346206e-001°)
1.01882595439312e+002	(-4.40117781533945e+001dB,-5.11963030812984e-001°)
1.01906057474924e+002	(-4.40117801844222e+001dB,-5.12080928423694e-001°)
1.01929524913492e+002	(-4.40117822163859e+001dB,-5.12198853184595e-001°)
1.01952997756260e+002	(-4.40117842492858e+001dB,-5.12316805101929e-001°)
1.01976476004471e+002	(-4.40117862831225e+001dB,-5.12434784181965e-001°)
1.01999959659371e+002	(-4.40117883178964e+001dB,-5.12552790430945e-001°)
1.02023448722206e+002	(-4.40117903536079e+001dB,-5.12670823855133e-001°)
1.02046943194219e+002	(-4.40117923902575e+001dB,-5.12788884460783e-001°)
1.02070443076658e+002	(-4.40117944278456e+001dB,-5.12906972254159e-001°)
1.02093948370767e+002	(-4.40117964663727e+001dB,-5.13025087241519e-001°)
1.02117459077794e+002	(-4.40117985058390e+001dB,-5.13143229429123e-001°)
1.02140975198984e+002	(-4.40118005462451e+001dB,-5.13261398823236e-001°)
1.02164496735585e+002	(-4.40118025875916e+001dB,-5.13379595430129e-001°)
1.02188023688843e+002	(-4.40118046298786e+001dB,-5.13497819256065e-001°)
1.02211556060006e+002	(-4.40118066731068e+001dB,-5.13616070307312e-001°)
1.02235093850322e+002	(-4.40118087172764e+001dB,-5.13734348590137e-001°)
1.02258637061039e+002	(-4.40118107623881e+001dB,-5.13852654110818e-001°)
1.02282185693404e+002	(-4.40118128084421e+001dB,-5.13970986875621e-001°)
1.02305739748666e+002	(-4.40118148554389e+001dB,-5.14089346890822e-001°)
1.02329299228075e+002	(-4.40118169033790e+001dB,-5.14207734162696e-001°)
1.02352864132878e+002	(-4.40118189522628e+001dB,-5.14326148697521e-001°)
1.02376434464327e+002	(-4.40118210020908e+001dB,-5.14444590501577e-001°)
1.02400010223669e+002	(-4.40118230528633e+001dB,-5.14563059581141e-001°)
1.02423591412156e+002	(-4.40118251045808e+001dB,-5.14681555942496e-001°)
1.02447178031037e+002	(-4.40118271572438e+001dB,-5.14800079591923e-001°)
1.02470770081564e+002	(-4.40118292108526e+001dB,-5.14918630535709e-001°)
1.02494367564986e+002	(-4.40118312654078e+001dB,-5.15037208780137e-001°)
1.02517970482555e+002	(-4.40118333209096e+001dB,-5.15155814331489e-001°)
1.02541578835522e+002	(-4.40118353773587e+001dB,-5.15274447196065e-001°)
1.02565192625140e+002	(-4.40118374347554e+001dB,-5.15393107380146e-001°)
1.02588811852659e+002	(-4.40118394931001e+001dB,-5.15511794890027e-001°)
1.02612436519333e+002	(-4.40118415523934e+001dB,-5.15630509732001e-001°)
1.02636066626414e+002	(-4.40118436126356e+001dB,-5.15749251912364e-001°)
1.02659702175154e+002	(-4.40118456738271e+001dB,-5.15868021437404e-001°)
1.02683343166808e+002	(-4.40118477359685e+001dB,-5.15986818313427e-001°)
1.02706989602627e+002	(-4.40118497990600e+001dB,-5.16105642546723e-001°)
1.02730641483867e+002	(-4.40118518631023e+001dB,-5.16224494143601e-001°)
1.02754298811780e+002	(-4.40118539280957e+001dB,-5.16343373110358e-001°)
1.02777961587622e+002	(-4.40118559940407e+001dB,-5.16462279453297e-001°)
1.02801629812646e+002	(-4.40118580609376e+001dB,-5.16581213178723e-001°)
1.02825303488109e+002	(-4.40118601287870e+001dB,-5.16700174292940e-001°)
1.02848982615264e+002	(-4.40118621975893e+001dB,-5.16819162802259e-001°)
1.02872667195367e+002	(-4.40118642673449e+001dB,-5.16938178712988e-001°)
1.02896357229674e+002	(-4.40118663380542e+001dB,-5.17057222031433e-001°)
1.02920052719442e+002	(-4.40118684097177e+001dB,-5.17176292763913e-001°)
1.02943753665926e+002	(-4.40118704823359e+001dB,-5.17295390916733e-001°)
1.02967460070382e+002	(-4.40118725559092e+001dB,-5.17414516496216e-001°)
1.02991171934069e+002	(-4.40118746304379e+001dB,-5.17533669508666e-001°)
1.03014889258242e+002	(-4.40118767059226e+001dB,-5.17652849960414e-001°)
1.03038612044161e+002	(-4.40118787823637e+001dB,-5.17772057857771e-001°)
1.03062340293081e+002	(-4.40118808597617e+001dB,-5.17891293207060e-001°)
1.03086074006261e+002	(-4.40118829381169e+001dB,-5.18010556014600e-001°)
1.03109813184961e+002	(-4.40118850174298e+001dB,-5.18129846286720e-001°)
1.03133557830437e+002	(-4.40118870977009e+001dB,-5.18249164029738e-001°)
1.03157307943950e+002	(-4.40118891789306e+001dB,-5.18368509249986e-001°)
1.03181063526758e+002	(-4.40118912611193e+001dB,-5.18487881953789e-001°)
1.03204824580121e+002	(-4.40118933442676e+001dB,-5.18607282147475e-001°)
1.03228591105299e+002	(-4.40118954283757e+001dB,-5.18726709837378e-001°)
1.03252363103551e+002	(-4.40118975134442e+001dB,-5.18846165029825e-001°)
1.03276140576139e+002	(-4.40118995994736e+001dB,-5.18965647731158e-001°)
1.03299923524322e+002	(-4.40119016864642e+001dB,-5.19085157947703e-001°)
1.03323711949362e+002	(-4.40119037744165e+001dB,-5.19204695685799e-001°)
1.03347505852520e+002	(-4.40119058633309e+001dB,-5.19324260951784e-001°)
1.03371305235057e+002	(-4.40119079532080e+001dB,-5.19443853752001e-001°)
1.03395110098236e+002	(-4.40119100440480e+001dB,-5.19563474092788e-001°)
1.03418920443318e+002	(-4.40119121358516e+001dB,-5.19683121980487e-001°)
1.03442736271566e+002	(-4.40119142286190e+001dB,-5.19802797421440e-001°)
1.03466557584242e+002	(-4.40119163223508e+001dB,-5.19922500421998e-001°)
1.03490384382610e+002	(-4.40119184170475e+001dB,-5.20042230988503e-001°)
1.03514216667933e+002	(-4.40119205127093e+001dB,-5.20161989127303e-001°)
1.03538054441474e+002	(-4.40119226093369e+001dB,-5.20281774844749e-001°)
1.03561897704497e+002	(-4.40119247069306e+001dB,-5.20401588147190e-001°)
1.03585746458267e+002	(-4.40119268054909e+001dB,-5.20521429040982e-001°)
1.03609600704047e+002	(-4.40119289050182e+001dB,-5.20641297532476e-001°)
1.03633460443103e+002	(-4.40119310055131e+001dB,-5.20761193628031e-001°)
1.03657325676699e+002	(-4.40119331069758e+001dB,-5.20881117333999e-001°)
1.03681196406101e+002	(-4.40119352094069e+001dB,-5.21001068656741e-001°)
1.03705072632575e+002	(-4.40119373128069e+001dB,-5.21121047602620e-001°)
1.03728954357386e+002	(-4.40119394171760e+001dB,-5.21241054177989e-001°)
1.03752841581800e+002	(-4.40119415225149e+001dB,-5.21361088389221e-001°)
1.03776734307084e+002	(-4.40119436288240e+001dB,-5.21481150242670e-001°)
1.03800632534505e+002	(-4.40119457361036e+001dB,-5.21601239744710e-001°)
1.03824536265330e+002	(-4.40119478443544e+001dB,-5.21721356901707e-001°)
1.03848445500826e+002	(-4.40119499535766e+001dB,-5.21841501720020e-001°)
1.03872360242261e+002	(-4.40119520637708e+001dB,-5.21961674206032e-001°)
1.03896280490902e+002	(-4.40119541749373e+001dB,-5.22081874366109e-001°)
1.03920206248019e+002	(-4.40119562870767e+001dB,-5.22202102206620e-001°)
1.03944137514879e+002	(-4.40119584001894e+001dB,-5.22322357733950e-001°)
1.03968074292751e+002	(-4.40119605142759e+001dB,-5.22442640954464e-001°)
1.03992016582905e+002	(-4.40119626293365e+001dB,-5.22562951874545e-001°)
1.04015964386609e+002	(-4.40119647453718e+001dB,-5.22683290500573e-001°)
1.04039917705134e+002	(-4.40119668623822e+001dB,-5.22803656838923e-001°)
1.04063876539749e+002	(-4.40119689803680e+001dB,-5.22924050895979e-001°)
1.04087840891725e+002	(-4.40119710993299e+001dB,-5.23044472678129e-001°)
1.04111810762332e+002	(-4.40119732192682e+001dB,-5.23164922191749e-001°)
1.04135786152842e+002	(-4.40119753401835e+001dB,-5.23285399443236e-001°)
1.04159767064525e+002	(-4.40119774620760e+001dB,-5.23405904438972e-001°)
1.04183753498652e+002	(-4.40119795849464e+001dB,-5.23526437185342e-001°)
1.04207745456496e+002	(-4.40119817087950e+001dB,-5.23646997688745e-001°)
1.04231742939329e+002	(-4.40119838336222e+001dB,-5.23767585955566e-001°)
1.04255745948422e+002	(-4.40119859594287e+001dB,-5.23888201992203e-001°)
1.04279754485049e+002	(-4.40119880862147e+001dB,-5.24008845805049e-001°)
1.04303768550482e+002	(-4.40119902139807e+001dB,-5.24129517400503e-001°)
1.04327788145995e+002	(-4.40119923427273e+001dB,-5.24250216784961e-001°)
1.04351813272861e+002	(-4.40119944724548e+001dB,-5.24370943964823e-001°)
1.04375843932353e+002	(-4.40119966031637e+001dB,-5.24491698946487e-001°)
1.04399880125747e+002	(-4.40119987348545e+001dB,-5.24612481736362e-001°)
1.04423921854316e+002	(-4.40120008675275e+001dB,-5.24733292340844e-001°)
1.04447969119335e+002	(-4.40120030011833e+001dB,-5.24854130766342e-001°)
1.04472021922078e+002	(-4.40120051358224e+001dB,-5.24974997019269e-001°)
1.04496080263822e+002	(-4.40120072714451e+001dB,-5.25095891106022e-001°)
1.04520144145842e+002	(-4.40120094080519e+001dB,-5.25216813033019e-001°)
1.04544213569413e+002	(-4.40120115456433e+001dB,-5.25337762806672e-001°)
1.04568288535812e+002	(-4.40120136842197e+001dB,-5.25458740433385e-001°)
1.04592369046315e+002	(-4.40120158237816e+001dB,-5.25579745919579e-001°)
1.04616455102199e+002	(-4.40120179643294e+001dB,-5.25700779271669e-001°)
1.04640546704741e+002	(-4.40120201058636e+001dB,-5.25821840496073e-001°)
1.04664643855218e+002	(-4.40120222483847e+001dB,-5.25942929599209e-001°)
1.04688746554908e+002	(-4.40120243918931e+001dB,-5.26064046587494e-001°)
1.04712854805088e+002	(-4.40120265363892e+001dB,-5.26185191467352e-001°)
1.04736968607038e+002	(-4.40120286818735e+001dB,-5.26306364245209e-001°)
1.04761087962034e+002	(-4.40120308283465e+001dB,-5.26427564927482e-001°)
1.04785212871357e+002	(-4.40120329758086e+001dB,-5.26548793520609e-001°)
1.04809343336286e+002	(-4.40120351242603e+001dB,-5.26670050031007e-001°)
1.04833479358098e+002	(-4.40120372737020e+001dB,-5.26791334465107e-001°)
1.04857620938075e+002	(-4.40120394241343e+001dB,-5.26912646829344e-001°)
1.04881768077497e+002	(-4.40120415755574e+001dB,-5.27033987130144e-001°)
1.04905920777643e+002	(-4.40120437279720e+001dB,-5.27155355373943e-001°)
1.04930079039794e+002	(-4.40120458813784e+001dB,-5.27276751567180e-001°)
