v1	V(n001)	Id(J1)
0.000000000000000e+000	-2.506274e-012	2.506274e-012
1.000000000000000e-001	9.971942e-002	2.805834e-004
2.000000000000000e-001	1.994591e-001	5.408648e-004
3.000000000000000e-001	2.992192e-001	7.808072e-004
4.000000000000000e-001	3.989996e-001	1.000374e-003
5.000000000000000e-001	4.988005e-001	1.199526e-003
6.000000000000000e-001	5.986218e-001	1.378228e-003
7.000000000000000e-001	6.984636e-001	1.536442e-003
7.999999999999999e-001	7.983259e-001	1.674131e-003
8.999999999999999e-001	8.982087e-001	1.791256e-003
9.999999999999999e-001	9.981122e-001	1.887779e-003
1.100000000000000e+000	1.098036e+000	1.963664e-003
1.200000000000000e+000	1.197981e+000	2.018872e-003
1.300000000000000e+000	1.297947e+000	2.053365e-003
1.400000000000000e+000	1.397933e+000	2.067104e-003
1.500000000000000e+000	1.497932e+000	2.067723e-003
1.600000000000000e+000	1.597932e+000	2.068134e-003
1.700000000000000e+000	1.697931e+000	2.068545e-003
1.800000000000001e+000	1.797931e+000	2.068957e-003
1.900000000000001e+000	1.897931e+000	2.069368e-003
2.000000000000000e+000	1.997930e+000	2.069779e-003
2.100000000000001e+000	2.097930e+000	2.070190e-003
2.200000000000001e+000	2.197929e+000	2.070601e-003
2.300000000000001e+000	2.297929e+000	2.071012e-003
2.400000000000001e+000	2.397928e+000	2.071423e-003
2.500000000000001e+000	2.497928e+000	2.071834e-003
2.600000000000001e+000	2.597928e+000	2.072245e-003
2.700000000000001e+000	2.697927e+000	2.072657e-003
2.800000000000001e+000	2.797927e+000	2.073068e-003
2.900000000000001e+000	2.897927e+000	2.073479e-003
3.000000000000001e+000	2.997926e+000	2.073890e-003
3.100000000000001e+000	3.097926e+000	2.074301e-003
3.200000000000002e+000	3.197925e+000	2.074712e-003
3.300000000000002e+000	3.297925e+000	2.075123e-003
3.400000000000002e+000	3.397924e+000	2.075534e-003
3.500000000000002e+000	3.497924e+000	2.075945e-003
3.600000000000002e+000	3.597924e+000	2.076356e-003
3.700000000000002e+000	3.697923e+000	2.076767e-003
3.800000000000002e+000	3.797923e+000	2.077179e-003
3.900000000000002e+000	3.897923e+000	2.077590e-003
4.000000000000002e+000	3.997922e+000	2.078001e-003
4.100000000000001e+000	4.097921e+000	2.078412e-003
4.200000000000001e+000	4.197921e+000	2.078823e-003
4.300000000000001e+000	4.297921e+000	2.079234e-003
4.400000000000000e+000	4.397920e+000	2.079645e-003
4.500000000000000e+000	4.497920e+000	2.080056e-003
4.600000000000000e+000	4.597919e+000	2.080467e-003
4.699999999999999e+000	4.697919e+000	2.080878e-003
4.799999999999999e+000	4.797919e+000	2.081289e-003
4.899999999999999e+000	4.897918e+000	2.081700e-003
5.000000000000000e+000	4.997918e+000	2.082112e-003
