v1	V(n001)	Id(J1)
0.000000000000000e+000	-1.975142e-012	1.975142e-012
1.000000000000000e-001	9.961744e-002	3.825549e-004
2.000000000000000e-001	1.992550e-001	7.449935e-004
3.000000000000000e-001	2.989127e-001	1.087280e-003
4.000000000000000e-001	3.985906e-001	1.409376e-003
5.000000000000000e-001	4.982888e-001	1.711247e-003
6.000000000000000e-001	5.980071e-001	1.992855e-003
7.000000000000000e-001	6.977459e-001	2.254163e-003
7.999999999999999e-001	7.975048e-001	2.495135e-003
8.999999999999999e-001	8.972843e-001	2.715733e-003
9.999999999999999e-001	9.970841e-001	2.915920e-003
1.100000000000000e+000	1.096904e+000	3.095659e-003
1.200000000000000e+000	1.196745e+000	3.254912e-003
1.300000000000000e+000	1.296606e+000	3.393642e-003
1.400000000000000e+000	1.396488e+000	3.511811e-003
1.500000000000000e+000	1.496391e+000	3.609382e-003
1.600000000000000e+000	1.596314e+000	3.686316e-003
1.700000000000000e+000	1.696257e+000	3.742576e-003
1.800000000000001e+000	1.796222e+000	3.778124e-003
1.900000000000001e+000	1.896207e+000	3.792922e-003
2.000000000000000e+000	1.996206e+000	3.793996e-003
2.100000000000001e+000	2.096205e+000	3.794749e-003
2.200000000000001e+000	2.196204e+000	3.795502e-003
2.300000000000001e+000	2.296204e+000	3.796254e-003
2.400000000000001e+000	2.396203e+000	3.797007e-003
2.500000000000001e+000	2.496202e+000	3.797760e-003
2.600000000000001e+000	2.596201e+000	3.798513e-003
2.700000000000001e+000	2.696201e+000	3.799265e-003
2.800000000000001e+000	2.796200e+000	3.800018e-003
2.900000000000001e+000	2.896199e+000	3.800771e-003
3.000000000000001e+000	2.996198e+000	3.801524e-003
3.100000000000001e+000	3.096198e+000	3.802276e-003
3.200000000000002e+000	3.196197e+000	3.803029e-003
3.300000000000002e+000	3.296196e+000	3.803782e-003
3.400000000000002e+000	3.396195e+000	3.804535e-003
3.500000000000002e+000	3.496195e+000	3.805288e-003
3.600000000000002e+000	3.596194e+000	3.806040e-003
3.700000000000002e+000	3.696193e+000	3.806793e-003
3.800000000000002e+000	3.796192e+000	3.807546e-003
3.900000000000002e+000	3.896192e+000	3.808299e-003
4.000000000000002e+000	3.996191e+000	3.809051e-003
4.100000000000001e+000	4.096190e+000	3.809804e-003
4.200000000000001e+000	4.196189e+000	3.810557e-003
4.300000000000001e+000	4.296189e+000	3.811310e-003
4.400000000000000e+000	4.396188e+000	3.812062e-003
4.500000000000000e+000	4.496187e+000	3.812815e-003
4.600000000000000e+000	4.596187e+000	3.813568e-003
4.699999999999999e+000	4.696186e+000	3.814321e-003
4.799999999999999e+000	4.796185e+000	3.815073e-003
4.899999999999999e+000	4.896184e+000	3.815826e-003
5.000000000000000e+000	4.996183e+000	3.816579e-003
Step Information: Vg=-1  (Run: 5/8)
0.000000000000000e+000	-1.440920e-012	1.440920e-012
1.000000000000000e-001	9.951610e-002	4.838989e-004
2.000000000000000e-001	1.990521e-001	9.478651e-004
3.000000000000000e-001	2.986081e-001	1.391863e-003
4.000000000000000e-001	3.981842e-001	1.815856e-003
5.000000000000000e-001	4.977802e-001	2.219808e-003
6.000000000000000e-001	5.973963e-001	2.603682e-003
7.000000000000000e-001	6.970326e-001	2.967444e-003
7.999999999999999e-001	7.966890e-001	3.311056e-003
8.999999999999999e-001	8.963655e-001	3.634481e-003
9.999999999999999e-001	9.960623e-001	3.937683e-003
1.100000000000000e+000	1.095779e+000	4.220625e-003
1.200000000000000e+000	1.195517e+000	4.483270e-003
1.300000000000000e+000	1.295274e+000	4.725582e-003
1.400000000000000e+000	1.395052e+000	4.947524e-003
1.500000000000000e+000	1.494851e+000	5.149057e-003
1.600000000000000e+000	1.594670e+000	5.330144e-003
1.700000000000000e+000	1.694509e+000	5.490750e-003
1.800000000000001e+000	1.794369e+000	5.630835e-003
1.900000000000001e+000	1.894250e+000	5.750363e-003
2.000000000000000e+000	1.994151e+000	5.849296e-003
2.100000000000001e+000	2.094072e+000	5.927595e-003
2.200000000000001e+000	2.194015e+000	5.985223e-003
2.300000000000001e+000	2.293978e+000	6.022143e-003
2.400000000000001e+000	2.393962e+000	6.038315e-003
2.500000000000001e+000	2.493960e+000	6.040018e-003
2.600000000000001e+000	2.593959e+000	6.041214e-003
2.700000000000001e+000	2.693958e+000	6.042410e-003
2.800000000000001e+000	2.793956e+000	6.043606e-003
2.900000000000001e+000	2.893955e+000	6.044802e-003
3.000000000000001e+000	2.993954e+000	6.045998e-003
3.100000000000001e+000	3.093953e+000	6.047193e-003
3.200000000000002e+000	3.193952e+000	6.048390e-003
3.300000000000002e+000	3.293950e+000	6.049586e-003
3.400000000000002e+000	3.393949e+000	6.050781e-003
3.500000000000002e+000	3.493948e+000	6.051977e-003
3.600000000000002e+000	3.593947e+000	6.053173e-003
3.700000000000002e+000	3.693946e+000	6.054369e-003
3.800000000000002e+000	3.793944e+000	6.055565e-003
3.900000000000002e+000	3.893943e+000	6.056761e-003
4.000000000000002e+000	3.993942e+000	6.057957e-003
4.100000000000001e+000	4.093941e+000	6.059153e-003
4.200000000000001e+000	4.193940e+000	6.060349e-003
4.300000000000001e+000	4.293939e+000	6.061545e-003
4.400000000000000e+000	4.393937e+000	6.062741e-003
4.500000000000000e+000	4.493936e+000	6.063937e-003
4.600000000000000e+000	4.593935e+000	6.065133e-003
4.699999999999999e+000	4.693933e+000	6.066329e-003
4.799999999999999e+000	4.793932e+000	6.067525e-003
4.899999999999999e+000	4.893931e+000	6.068720e-003
5.000000000000000e+000	4.993930e+000	6.069916e-003
Step Information: Vg=-500m  (Run: 6/8)
0.000000000000000e+000	-9.017047e-013	9.017049e-013
1.000000000000000e-001	9.941538e-002	5.846212e-004
2.000000000000000e-001	1.988505e-001	1.149491e-003
3.000000000000000e-001	2.983054e-001	1.694574e-003
4.000000000000000e-001	3.977802e-001	2.219835e-003
5.000000000000000e-001	4.972748e-001	2.725238e-003
6.000000000000000e-001	5.967892e-001	3.210746e-003
7.000000000000000e-001	6.963237e-001	3.676326e-003
7.999999999999999e-001	7.958781e-001	4.121940e-003
8.999999999999999e-001	8.954524e-001	4.547553e-003
9.999999999999999e-001	9.950469e-001	4.953127e-003
1.100000000000000e+000	1.094661e+000	5.338629e-003
1.200000000000000e+000	1.194296e+000	5.704020e-003
1.300000000000000e+000	1.293951e+000	6.049264e-003
1.400000000000000e+000	1.393626e+000	6.374326e-003
1.500000000000000e+000	1.493321e+000	6.679168e-003
1.600000000000000e+000	1.593036e+000	6.963753e-003
1.700000000000000e+000	1.692772e+000	7.228045e-003
1.800000000000001e+000	1.792528e+000	7.472007e-003
1.900000000000001e+000	1.892304e+000	7.695601e-003
2.000000000000000e+000	1.992101e+000	7.898792e-003
2.100000000000001e+000	2.091918e+000	8.081540e-003
2.200000000000001e+000	2.191756e+000	8.243810e-003
2.300000000000001e+000	2.291615e+000	8.385564e-003
2.400000000000001e+000	2.391493e+000	8.506764e-003
2.500000000000001e+000	2.491393e+000	8.607372e-003
2.600000000000001e+000	2.591313e+000	8.687351e-003
2.700000000000001e+000	2.691253e+000	8.746662e-003
2.800000000000001e+000	2.791215e+000	8.785269e-003
2.900000000000001e+000	2.891197e+000	8.803133e-003
3.000000000000001e+000	2.991194e+000	8.805665e-003
3.100000000000001e+000	3.091192e+000	8.807405e-003
3.200000000000002e+000	3.191191e+000	8.809145e-003
3.300000000000002e+000	3.291189e+000	8.810885e-003
3.400000000000002e+000	3.391187e+000	8.812625e-003
3.500000000000002e+000	3.491186e+000	8.814366e-003
3.600000000000002e+000	3.591184e+000	8.816105e-003
3.700000000000002e+000	3.691182e+000	8.817845e-003
3.800000000000002e+000	3.791180e+000	8.819586e-003
3.900000000000002e+000	3.891179e+000	8.821325e-003
4.000000000000002e+000	3.991177e+000	8.823065e-003
4.100000000000001e+000	4.091175e+000	8.824806e-003
4.200000000000001e+000	4.191174e+000	8.826545e-003
4.300000000000001e+000	4.291172e+000	8.828285e-003
4.400000000000000e+000	4.391170e+000	8.830026e-003
4.500000000000000e+000	4.491168e+000	8.831766e-003
4.600000000000000e+000	4.591166e+000	8.833505e-003
4.699999999999999e+000	4.691165e+000	8.835246e-003
4.799999999999999e+000	4.791163e+000	8.836986e-003
4.899999999999999e+000	4.891161e+000	8.838725e-003
5.000000000000000e+000	4.991159e+000	8.840465e-003
Step Information: Vg=0  (Run: 7/8)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-001	9.931527e-002	6.847276e-004
2.000000000000000e-001	1.986501e-001	1.349883e-003
3.000000000000000e-001	2.980046e-001	1.995431e-003
4.000000000000000e-001	3.973787e-001	2.621337e-003
5.000000000000000e-001	4.967724e-001	3.227565e-003
6.000000000000000e-001	5.961859e-001	3.814081e-003
7.000000000000000e-001	6.956192e-001	4.380850e-003
7.999999999999999e-001	7.950721e-001	4.927834e-003
8.999999999999999e-001	8.945450e-001	5.455000e-003
9.999999999999999e-001	9.940377e-001	5.962312e-003
1.100000000000000e+000	1.093550e+000	6.449734e-003
1.200000000000000e+000	1.193083e+000	6.917230e-003
1.300000000000000e+000	1.292635e+000	7.364764e-003
1.400000000000000e+000	1.392208e+000	7.792301e-003
1.500000000000000e+000	1.491800e+000	8.199804e-003
1.600000000000000e+000	1.591413e+000	8.587236e-003
1.700000000000000e+000	1.691045e+000	8.954562e-003
1.800000000000001e+000	1.790698e+000	9.301746e-003
1.900000000000001e+000	1.890371e+000	9.628750e-003
2.000000000000000e+000	1.990065e+000	9.935539e-003
2.100000000000001e+000	2.089778e+000	1.022208e-002
2.200000000000001e+000	2.189512e+000	1.048832e-002
2.300000000000001e+000	2.289266e+000	1.073424e-002
2.400000000000001e+000	2.389040e+000	1.095980e-002
2.500000000000001e+000	2.488835e+000	1.116496e-002
2.600000000000001e+000	2.588650e+000	1.134968e-002
2.700000000000001e+000	2.688486e+000	1.151393e-002
2.800000000000001e+000	2.788342e+000	1.165766e-002
2.900000000000001e+000	2.888219e+000	1.178085e-002
3.000000000000001e+000	2.988117e+000	1.188344e-002
3.100000000000001e+000	3.088035e+000	1.196541e-002
3.200000000000002e+000	3.187973e+000	1.202672e-002
3.300000000000002e+000	3.287933e+000	1.206733e-002
3.400000000000002e+000	3.387913e+000	1.208720e-002
3.500000000000002e+000	3.487909e+000	1.209080e-002
3.600000000000002e+000	3.587907e+000	1.209319e-002
3.700000000000002e+000	3.687904e+000	1.209557e-002
3.800000000000002e+000	3.787902e+000	1.209795e-002
3.900000000000002e+000	3.887900e+000	1.210034e-002
4.000000000000002e+000	3.987897e+000	1.210272e-002
4.100000000000001e+000	4.087895e+000	1.210511e-002
4.200000000000001e+000	4.187892e+000	1.210749e-002
4.300000000000001e+000	4.287890e+000	1.210988e-002
4.400000000000000e+000	4.387888e+000	1.211226e-002
4.500000000000000e+000	4.487885e+000	1.211464e-002
4.600000000000000e+000	4.587883e+000	1.211703e-002
4.699999999999999e+000	4.687881e+000	1.211941e-002
4.799999999999999e+000	4.787878e+000	1.212180e-002
4.899999999999999e+000	4.887876e+000	1.212418e-002
5.000000000000000e+000	4.987874e+000	1.212657e-002
Step Information: Vg=500m  (Run: 8/8)
0.000000000000000e+000	8.276434e-006	-8.276434e-006
1.000000000000000e-001	9.921602e-002	7.839760e-004
2.000000000000000e-001	1.984510e-001	1.548985e-003
3.000000000000000e-001	2.977056e-001	2.294390e-003
4.000000000000000e-001	3.969797e-001	3.020325e-003
5.000000000000000e-001	4.962732e-001	3.726762e-003
6.000000000000000e-001	5.955864e-001	4.413666e-003
7.000000000000000e-001	6.949190e-001	5.081000e-003
7.999999999999999e-001	7.942713e-001	5.728731e-003
8.999999999999999e-001	8.936432e-001	6.356825e-003
9.999999999999999e-001	9.930348e-001	6.965244e-003
1.100000000000000e+000	1.092446e+000	7.553955e-003
1.200000000000000e+000	1.191877e+000	8.122922e-003
1.300000000000000e+000	1.291328e+000	8.672110e-003
1.400000000000000e+000	1.390799e+000	9.201483e-003
1.500000000000000e+000	1.490289e+000	9.711007e-003
1.600000000000000e+000	1.589799e+000	1.020064e-002
1.700000000000000e+000	1.689330e+000	1.067036e-002
1.800000000000001e+000	1.788880e+000	1.112012e-002
1.900000000000001e+000	1.888450e+000	1.154988e-002
2.000000000000000e+000	1.988040e+000	1.195962e-002
2.100000000000001e+000	2.087651e+000	1.234929e-002
2.200000000000001e+000	2.187281e+000	1.271885e-002
2.300000000000001e+000	2.286932e+000	1.306828e-002
2.400000000000001e+000	2.386602e+000	1.339754e-002
2.500000000000001e+000	2.486293e+000	1.370658e-002
2.600000000000001e+000	2.586005e+000	1.399537e-002
2.700000000000001e+000	2.685736e+000	1.426389e-002
2.800000000000001e+000	2.785488e+000	1.451208e-002
2.900000000000001e+000	2.885260e+000	1.473991e-002
3.000000000000001e+000	2.985053e+000	1.494734e-002
3.100000000000001e+000	3.084866e+000	1.513434e-002
3.200000000000002e+000	3.184699e+000	1.530088e-002
3.300000000000002e+000	3.284553e+000	1.544690e-002
3.400000000000002e+000	3.384428e+000	1.557238e-002
3.500000000000002e+000	3.484323e+000	1.567728e-002
3.600000000000002e+000	3.584239e+000	1.576156e-002
3.700000000000002e+000	3.684175e+000	1.582518e-002
