Freq.	V(v01)*V(v02)*V(v03)*V(v04)*V(v05)*V(v06)
1.00000000000000e+003	(-4.18599020849264e-001dB,-4.90906893603812e+000°)
1.00046062307284e+003	(-4.18597902638193e-001dB,-4.91134978620124e+000°)
1.00092145831930e+003	(-4.18596783378055e-001dB,-4.91363171427297e+000°)
1.00138250583710e+003	(-4.18595663067831e-001dB,-4.91591472078797e+000°)
1.00184376572403e+003	(-4.18594541706507e-001dB,-4.91819880628114e+000°)
1.00230523807790e+003	(-4.18593419293136e-001dB,-4.92048397128782e+000°)
1.00276692299659e+003	(-4.18592295826645e-001dB,-4.92277021634346e+000°)
1.00322882057800e+003	(-4.18591171306090e-001dB,-4.92505754198392e+000°)
1.00369093092010e+003	(-4.18590045730432e-001dB,-4.92734594874539e+000°)
1.00415325412088e+003	(-4.18588919098636e-001dB,-4.92963543716429e+000°)
1.00461579027840e+003	(-4.18587791409769e-001dB,-4.93192600777738e+000°)
1.00507853949074e+003	(-4.18586662662767e-001dB,-4.93421766112170e+000°)
1.00554150185604e+003	(-4.18585532856664e-001dB,-4.93651039773460e+000°)
1.00600467747250e+003	(-4.18584401990344e-001dB,-4.93880421815378e+000°)
1.00646806643833e+003	(-4.18583270062928e-001dB,-4.94109912291714e+000°)
1.00693166885180e+003	(-4.18582137073306e-001dB,-4.94339511256295e+000°)
1.00739548481125e+003	(-4.18581003020516e-001dB,-4.94569218762983e+000°)
1.00785951441503e+003	(-4.18579867903506e-001dB,-4.94799034865655e+000°)
1.00832375776155e+003	(-4.18578731721331e-001dB,-4.95028959618234e+000°)
1.00878821494927e+003	(-4.18577594472858e-001dB,-4.95258993074666e+000°)
1.00925288607668e+003	(-4.18576456157173e-001dB,-4.95489135288925e+000°)
1.00971777124234e+003	(-4.18575316773202e-001dB,-4.95719386315023e+000°)
1.01018287054483e+003	(-4.18574176319937e-001dB,-4.95949746207001e+000°)
1.01064818408279e+003	(-4.18573034796374e-001dB,-4.96180215018919e+000°)
1.01111371195491e+003	(-4.18571892201474e-001dB,-4.96410792804882e+000°)
1.01157945425990e+003	(-4.18570748534202e-001dB,-4.96641479619015e+000°)
1.01204541109654e+003	(-4.18569603793540e-001dB,-4.96872275515483e+000°)
1.01251158256366e+003	(-4.18568457978483e-001dB,-4.97103180548472e+000°)
1.01297796876010e+003	(-4.18567311087957e-001dB,-4.97334194772204e+000°)
1.01344456978479e+003	(-4.18566163121030e-001dB,-4.97565318240933e+000°)
1.01391138573668e+003	(-4.18565014076591e-001dB,-4.97796551008940e+000°)
1.01437841671477e+003	(-4.18563863953643e-001dB,-4.98027893130535e+000°)
1.01484566281810e+003	(-4.18562712751108e-001dB,-4.98259344660065e+000°)
1.01531312414576e+003	(-4.18561560467981e-001dB,-4.98490905651896e+000°)
1.01578080079690e+003	(-4.18560407103265e-001dB,-4.98722576160446e+000°)
1.01624869287070e+003	(-4.18559252655905e-001dB,-4.98954356240136e+000°)
1.01671680046638e+003	(-4.18558097124855e-001dB,-4.99186245945438e+000°)
1.01718512368322e+003	(-4.18556940509068e-001dB,-4.99418245330850e+000°)
1.01765366262053e+003	(-4.18555782807548e-001dB,-4.99650354450896e+000°)
1.01812241737770e+003	(-4.18554624019235e-001dB,-4.99882573360134e+000°)
