Freq.	V(fb3)/V(inm3)
1.00000000000000e+003	(-3.34212099706097e+001dB,-7.43066270225988e+001°)
1.00461579027840e+003	(-3.33782891975193e+001dB,-7.42376007352574e+001°)
1.00925288607668e+003	(-3.33353433890428e+001dB,-7.41683030749018e+001°)
1.01391138573668e+003	(-3.32923723477844e+001dB,-7.40987333695747e+001°)
1.01859138805412e+003	(-3.32493758750872e+001dB,-7.40288909509855e+001°)
1.02329299228075e+003	(-3.32063537710308e+001dB,-7.39587751546132e+001°)
1.02801629812647e+003	(-3.31633058344279e+001dB,-7.38883853197773e+001°)
1.03276140576140e+003	(-3.31202318628217e+001dB,-7.38177207897211e+001°)
1.03752841581801e+003	(-3.30771316524832e+001dB,-7.37467809117071e+001°)
1.04231742939330e+003	(-3.30340049984090e+001dB,-7.36755650371006e+001°)
1.04712854805090e+003	(-3.29908516943184e+001dB,-7.36040725214511e+001°)
1.05196187382322e+003	(-3.29476715326508e+001dB,-7.35323027245858e+001°)
1.05681750921366e+003	(-3.29044643045643e+001dB,-7.34602550106966e+001°)
1.06169555719873e+003	(-3.28612297999328e+001dB,-7.33879287484333e+001°)
1.06659612123026e+003	(-3.28179678073443e+001dB,-7.33153233109861e+001°)
1.07151930523761e+003	(-3.27746781140984e+001dB,-7.32424380761854e+001°)
1.07646521362984e+003	(-3.27313605062058e+001dB,-7.31692724265917e+001°)
1.08143395129794e+003	(-3.26880147683849e+001dB,-7.30958257495826e+001°)
1.08642562361707e+003	(-3.26446406840612e+001dB,-7.30220974374493e+001°)
1.09144033644876e+003	(-3.26012380353660e+001dB,-7.29480868874990e+001°)
1.09647819614319e+003	(-3.25578066031344e+001dB,-7.28737935021371e+001°)
1.10153930954142e+003	(-3.25143461669042e+001dB,-7.27992166889725e+001°)
1.10662378397767e+003	(-3.24708565049153e+001dB,-7.27243558609049e+001°)
1.11173172728159e+003	(-3.24273373941084e+001dB,-7.26492104362400e+001°)
1.11686324778056e+003	(-3.23837886101237e+001dB,-7.25737798387646e+001°)
1.12201845430197e+003	(-3.23402099273011e+001dB,-7.24980634978564e+001°)
1.12719745617551e+003	(-3.22966011186790e+001dB,-7.24220608485895e+001°)
1.13240036323556e+003	(-3.22529619559940e+001dB,-7.23457713318289e+001°)
1.13762728582343e+003	(-3.22092922096807e+001dB,-7.22691943943275e+001°)
1.14287833478977e+003	(-3.21655916488715e+001dB,-7.21923294888339e+001°)
1.14815362149688e+003	(-3.21218600413965e+001dB,-7.21151760741954e+001°)
1.15345325782109e+003	(-3.20780971537839e+001dB,-7.20377336154539e+001°)
1.15877735615513e+003	(-3.20343027512602e+001dB,-7.19600015839632e+001°)
1.16412602941049e+003	(-3.19904765977501e+001dB,-7.18819794574774e+001°)
1.16949939101987e+003	(-3.19466184558781e+001dB,-7.18036667202677e+001°)
1.17489755493953e+003	(-3.19027280869687e+001dB,-7.17250628632281e+001°)
1.18032063565173e+003	(-3.18588052510472e+001dB,-7.16461673839760e+001°)
1.18576874816716e+003	(-3.18148497068411e+001dB,-7.15669797869672e+001°)
1.19124200802738e+003	(-3.17708612117813e+001dB,-7.14874995835955e+001°)
1.19674053130725e+003	(-3.17268395220032e+001dB,-7.14077262923094e+001°)
1.20226443461742e+003	(-3.16827843923490e+001dB,-7.13276594387198e+001°)
1.20781383510678e+003	(-3.16386955763685e+001dB,-7.12472985557069e+001°)
1.21338885046498e+003	(-3.15945728263220e+001dB,-7.11666431835315e+001°)
1.21898959892487e+003	(-3.15504158931819e+001dB,-7.10856928699527e+001°)
1.22461619926505e+003	(-3.15062245266351e+001dB,-7.10044471703358e+001°)
1.23026877081238e+003	(-3.14619984750853e+001dB,-7.09229056477585e+001°)
1.23594743344451e+003	(-3.14177374856564e+001dB,-7.08410678731408e+001°)
1.24165230759241e+003	(-3.13734413041942e+001dB,-7.07589334253386e+001°)
1.24738351424295e+003	(-3.13291096752708e+001dB,-7.06765018912748e+001°)
1.25314117494142e+003	(-3.12847423421869e+001dB,-7.05937728660489e+001°)
1.25892541179417e+003	(-3.12403390469752e+001dB,-7.05107459530479e+001°)
1.26473634747115e+003	(-3.11958995304050e+001dB,-7.04274207640698e+001°)
1.27057410520855e+003	(-3.11514235319851e+001dB,-7.03437969194386e+001°)
1.27643880881135e+003	(-3.11069107899682e+001dB,-7.02598740481171e+001°)
1.28233058265603e+003	(-3.10623610413555e+001dB,-7.01756517878328e+001°)
1.28824955169314e+003	(-3.10177740219007e+001dB,-7.00911297851894e+001°)
1.29419584144999e+003	(-3.09731494661148e+001dB,-7.00063076957857e+001°)
1.30016957803329e+003	(-3.09284871072712e+001dB,-6.99211851843465e+001°)
1.30617088813185e+003	(-3.08837866774108e+001dB,-6.98357619248213e+001°)
1.31219989901921e+003	(-3.08390479073473e+001dB,-6.97500376005302e+001°)
1.31825673855641e+003	(-3.07942705266725e+001dB,-6.96640119042608e+001°)
1.32434153519467e+003	(-3.07494542637627e+001dB,-6.95776845384038e+001°)
1.33045441797810e+003	(-3.07045988457843e+001dB,-6.94910552150742e+001°)
1.33659551654645e+003	(-3.06597039987003e+001dB,-6.94041236562255e+001°)
1.34276496113787e+003	(-3.06147694472765e+001dB,-6.93168895937803e+001°)
1.34896288259166e+003	(-3.05697949150886e+001dB,-6.92293527697471e+001°)
1.35518941235104e+003	(-3.05247801245288e+001dB,-6.91415129363474e+001°)
1.36144468246596e+003	(-3.04797247968136e+001dB,-6.90533698561370e+001°)
1.36772882559585e+003	(-3.04346286519906e+001dB,-6.89649233021307e+001°)
1.37404197501252e+003	(-3.03894914089466e+001dB,-6.88761730579242e+001°)
1.38038426460289e+003	(-3.03443127854154e+001dB,-6.87871189178235e+001°)
1.38675582887189e+003	(-3.02990924979865e+001dB,-6.86977606869674e+001°)
1.39315680294531e+003	(-3.02538302621128e+001dB,-6.86080981814440e+001°)
1.39958732257262e+003	(-3.02085257921196e+001dB,-6.85181312284296e+001°)
1.40604752412992e+003	(-3.01631788012142e+001dB,-6.84278596663067e+001°)
1.41253754462276e+003	(-3.01177890014942e+001dB,-6.83372833447879e+001°)
1.41905752168910e+003	(-3.00723561039576e+001dB,-6.82464021250434e+001°)
1.42560759360219e+003	(-3.00268798185125e+001dB,-6.81552158798289e+001°)
1.43218789927355e+003	(-2.99813598539871e+001dB,-6.80637244936088e+001°)
1.43879857825585e+003	(-2.99357959181399e+001dB,-6.79719278626812e+001°)
1.44543977074593e+003	(-2.98901877176706e+001dB,-6.78798258953082e+001°)
1.45211161758775e+003	(-2.98445349582307e+001dB,-6.77874185118355e+001°)
1.45881426027536e+003	(-2.97988373444348e+001dB,-6.76947056448244e+001°)
1.46554784095592e+003	(-2.97530945798718e+001dB,-6.76016872391749e+001°)
1.47231250243273e+003	(-2.97073063671169e+001dB,-6.75083632522502e+001°)
1.47910838816821e+003	(-2.96614724077434e+001dB,-6.74147336540076e+001°)
1.48593564228701e+003	(-2.96155924023354e+001dB,-6.73207984271192e+001°)
1.49279440957900e+003	(-2.95696660504995e+001dB,-6.72265575671005e+001°)
1.49968483550238e+003	(-2.95236930508785e+001dB,-6.71320110824334e+001°)
1.50660706618675e+003	(-2.94776731011642e+001dB,-6.70371589946946e+001°)
1.51356124843622e+003	(-2.94316058981109e+001dB,-6.69420013386804e+001°)
1.52054752973250e+003	(-2.93854911375489e+001dB,-6.68465381625281e+001°)
1.52756605823808e+003	(-2.93393285143992e+001dB,-6.67507695278479e+001°)
1.53461698279930e+003	(-2.92931177226869e+001dB,-6.66546955098364e+001°)
1.54170045294957e+003	(-2.92468584555567e+001dB,-6.65583161974122e+001°)
1.54881661891249e+003	(-2.92005504052874e+001dB,-6.64616316933361e+001°)
1.55596563160508e+003	(-2.91541932633071e+001dB,-6.63646421143275e+001°)
1.56314764264096e+003	(-2.91077867202088e+001dB,-6.62673475911991e+001°)
1.57036280433356e+003	(-2.90613304657666e+001dB,-6.61697482689693e+001°)
1.57761126969936e+003	(-2.90148241889513e+001dB,-6.60718443069908e+001°)
1.58489319246112e+003	(-2.89682675779474e+001dB,-6.59736358790719e+001°)
1.59220872705118e+003	(-2.89216603201690e+001dB,-6.58751231735914e+001°)
1.59955802861468e+003	(-2.88750021022785e+001dB,-6.57763063936302e+001°)
1.60694125301289e+003	(-2.88282926102022e+001dB,-6.56771857570793e+001°)
1.61435855682650e+003	(-2.87815315291491e+001dB,-6.55777614967682e+001°)
1.62181009735894e+003	(-2.87347185436288e+001dB,-6.54780338605801e+001°)
1.62929603263973e+003	(-2.86878533374695e+001dB,-6.53780031115718e+001°)
1.63681652142782e+003	(-2.86409355938368e+001dB,-6.52776695280848e+001°)
1.64437172321494e+003	(-2.85939649952529e+001dB,-6.51770334038721e+001°)
1.65196179822903e+003	(-2.85469412236157e+001dB,-6.50760950482069e+001°)
1.65958690743757e+003	(-2.84998639602186e+001dB,-6.49748547859984e+001°)
1.66724721255107e+003	(-2.84527328857696e+001dB,-6.48733129579076e+001°)
1.67494287602645e+003	(-2.84055476804131e+001dB,-6.47714699204621e+001°)
1.68267406107048e+003	(-2.83583080237490e+001dB,-6.46693260461629e+001°)
1.69044093164328e+003	(-2.83110135948541e+001dB,-6.45668817235998e+001°)
1.69824365246176e+003	(-2.82636640723039e+001dB,-6.44641373575650e+001°)
1.70608238900314e+003	(-2.82162591341930e+001dB,-6.43610933691550e+001°)
1.71395730750844e+003	(-2.81687984581576e+001dB,-6.42577501958811e+001°)
1.72186857498602e+003	(-2.81212817213980e+001dB,-6.41541082917827e+001°)
1.72981635921511e+003	(-2.80737086007000e+001dB,-6.40501681275237e+001°)
1.73780082874939e+003	(-2.80260787724587e+001dB,-6.39459301905045e+001°)
1.74582215292052e+003	(-2.79783919127012e+001dB,-6.38413949849620e+001°)
1.75388050184177e+003	(-2.79306476971100e+001dB,-6.37365630320727e+001°)
1.76197604641164e+003	(-2.78828458010467e+001dB,-6.36314348700546e+001°)
1.77010895831743e+003	(-2.78349858995762e+001dB,-6.35260110542664e+001°)
1.77827941003894e+003	(-2.77870676674911e+001dB,-6.34202921573049e+001°)
1.78648757485206e+003	(-2.77390907793361e+001dB,-6.33142787691001e+001°)
1.79473362683254e+003	(-2.76910549094334e+001dB,-6.32079714970182e+001°)
1.80301774085958e+003	(-2.76429597319075e+001dB,-6.31013709659436e+001°)
1.81134009261962e+003	(-2.75948049207112e+001dB,-6.29944778183825e+001°)
1.81970085861000e+003	(-2.75465901496514e+001dB,-6.28872927145444e+001°)
