Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
10000,-0.001675634062656094,0.2496354727113416,-103.0211973681919
10006.93387462581,-0.003431222328175105,0.251844245410681,-103.2276339676277
10013.87255711335,-0.006435412349348148,0.2520021528772405,-103.4364262269244
10020.81605079633,-0.005596413618946598,0.2542458346670609,-103.6353122404321
10027.76435901078,-0.006211930576531893,0.2543320584186313,-103.8484473179973
10034.71748509503,-0.007163479729603129,0.2549321623590206,-104.0497981079031
10041.67543238973,-0.00912011927033579,0.2569494086033982,-104.2695690157747
10048.63820423786,-0.01030637591365483,0.2579392162161581,-104.4716510689598
10055.60580398468,-0.0121489926442947,0.261116828472096,-104.6875153337629
10062.57823497782,-0.01432735070311893,0.2609712668721867,-104.9010808584141
10069.55550056719,-0.01630803957659808,0.2624012027811454,-105.104428009865
10076.53760410504,-0.01461378088797294,0.2635794323757967,-105.3357725223884
10083.52454894595,-0.01271986697023861,0.2632536868550004,-105.5378869675544
10090.51633844682,-0.01002120862040324,0.2630787683703114,-105.751837787884
10097.51297596686,-0.01045380537443462,0.2662192596109195,-105.9684860488325
10104.51446486764,-0.008025964368282859,0.2674819774879993,-106.1983873216837
10111.52080851304,-0.006988385151053073,0.2676518392785557,-106.3987704612954
10118.53201026929,-0.005342949855060244,0.269089949430699,-106.623308264109
10125.54807350493,-0.004277038117230177,0.2701102337985146,-106.8532122609601
10132.56900159086,-0.003313761388286649,0.2706812830833556,-107.0678946202513
10139.59479790029,-0.003022693572285523,0.2718222496199746,-107.2851193129157
10146.6254658088,-0.00219450994764314,0.2732288055714397,-107.5107095159
10153.6610086943,-0.002804068448860732,0.2756147302829376,-107.7221771751925
10160.70142993702,-0.001913439787200054,0.2758248746850695,-107.9550253116071
10167.74673291956,-0.0005493009457650702,0.2779526744236072,-108.1835502148311
10174.79692102687,-0.0008187960530609767,0.2795810840911716,-108.4172193709611
10181.85199764621,-0.001184104107168632,0.2801684963742448,-108.6456038453067
10188.91196616723,-0.0007266431907497311,0.2802616899595752,-108.873688996281
10195.97682998191,-0.0001948378185206964,0.2824932841798197,-109.0915329954963
10203.04659248458,-2.252862944636312e-05,0.2815444321433164,-109.3153366457645
10210.12125707193,0.0008825410575243537,0.2830704176825367,-109.5683384089093
